;Modelname;CESM_MSE;CESM_Correlation;FOCI_MSE;FOCI_Correlation
Lead_time: 3 seq_length: 15;LSTM;0.9912189982463546;0.37279083267636004;0.7611319880727985;0.20743599852607625
Lead_time: 3 seq_length: 16;LSTM;0.9702079375662944;0.39737141668657944;0.7683742055217043;0.19607025252879143
Lead_time: 3 seq_length: 17;LSTM;1.00273544526928;0.35703507534154827;0.7498212234038082;0.2470861774346479
Lead_time: 3 seq_length: 18;LSTM;0.9695741445584829;0.3933014031931856;0.7746307553494917;0.18303989065708068
Lead_time: 3 seq_length: 19;LSTM;0.9940812504873351;0.38405994326350723;0.7723503238841132;0.20013310421589728
Lead_time: 3 seq_length: 2;LSTM;0.9762753719363123;0.3734647656075064;0.7697521268392151;0.2017957205485077
Lead_time: 3 seq_length: 20;LSTM;0.9853876343144062;0.38331391748092375;0.7726383396975909;0.18484259519032534
Lead_time: 3 seq_length: 21;LSTM;0.9722696916125185;0.38882331779416685;0.762334202788828;0.2127806377260229
Lead_time: 3 seq_length: 22;LSTM;0.9921659704033511;0.3681403124397876;0.74800001921598;0.24909995397309367
Lead_time: 3 seq_length: 23;LSTM;0.9883686180975202;0.3669568718590694;0.7597285900575718;0.21821860147327513
Lead_time: 3 seq_length: 24;LSTM;0.9606083089962624;0.40846794901826067;0.7585835869912284;0.2081940148873414
Lead_time: 3 seq_length: 3;LSTM;0.9617843323353188;0.3920473542391465;0.7571954447343109;0.24497908610663952
Lead_time: 3 seq_length: 4;LSTM;0.9644864486896584;0.38755997884137566;0.7522763991825423;0.2510296701858866
Lead_time: 3 seq_length: 5;LSTM;0.9822737809592267;0.3652125465978585;0.7660906848918879;0.2378758147732515
Lead_time: 3 seq_length: 6;LSTM;0.9542629472577581;0.3980174654077745;0.7661464786456694;0.22124574939980762
Lead_time: 3 seq_length: 7;LSTM;0.9807900337272485;0.367626774257365;0.7760436343620422;0.2061565148253756
Lead_time: 3 seq_length: 8;LSTM;0.9838019194238863;0.36553399938974784;0.7554726420098533;0.2335090868929225
Lead_time: 3 seq_length: 9;LSTM;0.9617456353300413;0.3968202074083548;0.7658163268695521;0.2024835658052927
Lead_time: 6 seq_length: 1;LSTM;0.9974830643476981;0.34624437600805547;0.7991354503938424;0.10030812932464767
Lead_time: 6 seq_length: 10;LSTM;1.031664517773139;0.31076948281891764;0.7737352245387572;0.1758249195173958
Lead_time: 6 seq_length: 11;LSTM;1.0474143125910171;0.318926800233214;0.7827734109534908;0.13346814375923743
Lead_time: 6 seq_length: 12;LSTM;1.0318384196072004;0.308975514283178;0.7773131408840777;0.15596575018861256
Lead_time: 6 seq_length: 13;LSTM;1.029470650236528;0.31596183118056154;0.7788188982162338;0.14778091477948882
Lead_time: 6 seq_length: 14;LSTM;1.0229271129839697;0.3243033844322841;0.7722618877892634;0.18689584533295148
Lead_time: 6 seq_length: 15;LSTM;1.0426055024908731;0.3041946471505049;0.7783492397620982;0.15775983806060864
